title,full_text,generated,full_text_original
황장산,울릉~소석비대라는 이름의 작은 철책 길이를 가진 울진군 자갈암 계곡이나 독곶감 같은 명소도 변함없이 존재한다,1,"이강산 근처에 위치한 울진군 자갈암 계곡이나 독곶감 같은 명질도 변하지 않고 그냥 울릉~소석비대라는 명칭의 작은 철책 길이, 육지로 된 철문이 많다고 한다."
2015년 KIA 타이거즈 시즌,"이범호 선수는 지난해 38세에 스나이더(현 넥센), 문태종(당시 SK), 서상우(41·KIA)를 제치고 올림피아드 통산 355의 경장을 기록했다.",1,"이범호 선수는 올림피아드 통산 355로 경장 자리에 올랐으며 작년 38세에 스나이더(현 넥센), 문태종(당시 SK), 서상우(41·K"
판소리고법 (서울특별시 무형문화재),판소리와 관련된 판소리를 북으로 불리는 고명(文禪)이 보통의 장르로 취급되긴 했으나 판소리 원조(原窯) ‘북 세상’(북,1,"판소리고법(판소리鼓法)은 판소리의 반주로 고수가 북 장단을 연주하는 것을 의미한다. 판소리는 일고수 이명창(一鼓手二名唱) 또는 암고수 숫명창이라 하여 고수의 기예를 매우 중요하게 여겼다.
판소리의 고법은 판소리 발생과 함께 시작되었을 것으로 보인다. 그것은 판소리와 비슷한 음악적 특징을 갖는 창우의 고사소리가 북 반주로 불리는 데서 알 수 있다. 순조(純祖) 때 송광록(宋光祿)은 송흥록(宋興祿)의 고수로 있다가 판소리로 돌려서 명창이 되었고, 역시 순조 때 주덕기(朱悳基)도 송흥록·모흥갑(牟興甲)의 고수로 있다가 명창이 되었다. 순조 때 활약한 판소리 명창 가운데 이른바 8명창이 있었는데 이 시절에는 진양을 6박으로 쳤다고 한다. 그 당시에는 소리에 따라서 맺고 푸는 고법을 본격적으로 활용하지 않은 것 같으며, 또 중몰이·중중몰이·자진몰이의 경우에도 맺고 푸는 고법이 충분히 이론화되지 않았던 것 같다. 또 휘몰이 장단은 순조 말기에 활약한 고수 문석준(文錫俊)이 <흥보가>의 박타는 대목에서 비롯된 것으로 짐작된다.
한성준 등 이들 명고수들은 판소리 고법의 체계를 세우는 데 공헌했으며, 오성삼(吳聖三)은 진양을 24박으로 치고 기(起)ㆍ경(景)ㆍ결(結)ㆍ해(解)라 하여 매 각(刻)마다 맺고 푸는 고법을 쳤다. 신찬문은 북의 맺고 푸는 고법을 완성했을 뿐만 아니라 북채 들고 너름새하는 법, 추임새하는 법 등 북채의 이론에 체계를 세웠다. 장판개(張判介)는 소리의 등배에 따라 북을 맺고 푸는 고법을 발전시켰으며, 광복 후에는 김재선(金在先)ㆍ이정업(李正業)ㆍ김명환(金命煥)ㆍ김득수(金得洙)ㆍ김동준(金東俊) 등이 활동하였다. 정화영은 김동준에게 판소리 고법을 본격적으로 배우기 시작했으나 김동준이 일찍 작고했기 때문에 이수자로 인정되지 못하였다고 한다.
판소리에 사용되는 소리북은 고장북이라고 불리며 고장이란 장단의 방언이다. 소리북은 높이가 23cm에 지름이 47cm 정도 되는 통으로 제작되며 양쪽에 소가죽이 붙어 있다. 북통은 통북이라고도 하며 오동나무나 다른 종류의 통나무를 파서 만들기도 하지만 일반적으로 소나무를 여러 조각으로 깎아 통처럼 조립한다. 북채는 박달나무, 대추나무 또는 탱자나무와 같은 단단한 나무로 만들어진다.
판소리에 쓰이는 장단에는 진양·중몰이·중중몰이·자진몰이·휘몰이·엇몰이·엇중몰이가 있다. 판소리의 선율은 맺고 푼다 하여 악절에 따라 선율의 기복(起伏)이 있는데, 이것을 소리의 등배 또는 생사맥(生死脈)이라고도 한다.
정화영의 연주법은 왼손잡이이므로 북을 오른편에 당겨 놓고 치며 북채는 왼손으로 쥐고 치되 자연스럽게 쥐고, 채편 대접을 같은 모양으로 친다. 또 궁편은 오른손으로 치되 팔을 곧게 펴지 않고 자연스레 펴 오른손 엄지를 북통 전에 걸치고 치며, 특별한 경우가 아니면 엄지를 전에서 떼지 않는다.
오른손 채손은 북을 칠 때 머리 위나 음편으로 멀리 나가지 않도록 주의한다. 대점은 채를 수평으로 내려치며 북통의 위쪽이나 가운데를 정확히 치고 소점은 조금 안쪽으로 당겨서 친다.
맺고 푸는 주법은 진양 장단을 치며 다른 장단은 맺을 경우에는 결박에 대점을 치고 그렇지 않을 때에는 소점을 친다고 하며, 사치가락은 고정된 사치가락이 많지 않고 그때그때 만들어 친다.
북편 성음은 다소 음성적인 묵직한 성음이며, 채편 성음 또한 무겁고 단단한 성음으로, 요즈음 고법의 경향이 가볍고 번잡한 성음으로 기울고 있는 것과는 대조가 된다.
추임새는 그 위치와 말의 선택이 적절하며 성음이 북성음과 잘 어우러진다. 그러나 때때로 돋우어 주는 추임새의 신명이 부족한 경우가 있다고 한다.
정화영은 김명환·김동준이 사사했던 장판개의 고법을 계승하고 있다."
페어반츠리가,페어반츠리가 최근 몇 년 동안 쓰고 있는 독일 프로 야구단 내 두 번째 인원이다.,1,페어반츠리가 최근 몇 년 동안 사용하기 시작한 독일 프로 야구단 내 두 번째 인원이다.
이재원 (1831년),조선시대 역사 속에서 고종과 이신혁란은 밀려났지만 조선을 평평하게 유지한 1755년생 김좌해왕(조선을 후궁)만이 남겼다.,1,고종과 이신혁란은 조선시대 역사 속에서 떠돌던 인조들은 죽어서 고종의 후궁이 되었지만 조선을 평평하게 지낸 1755년생 김좌해
이븐 알하이삼,"안철수의 이학이나 물리학에서, 우선 철학과 지도의 분야에 탐닉한 이들은 아부레미스의 <이미솔>(스누이타), 베리만은 책",1,"안철수의 이학이나 물리학 그리고 화학에서, 우선 철학과 지도의 분야에 탐험한 이들은 아부레미스의 <이미솔>(스누이타), 그리고 베리만은 <나"
탈나치화,하지만 보수 단체들이 ‘탈나치 투쟁’을 잊고자 하는 태도를 비쳐서 보수 세력의 ‘보이지 않는 이념’이 깔려 있는 오스트리아 빈에서 보수파의 반독점 투쟁에 맞서 총력을 기울이는 모습이 보여졌다.,1,그러나 보수 단체들의 ‘탈나치 투쟁’을 잊고자 하는 태도를 비쳐서 보수 세력의 ‘보이지 않는 이념’이 깔려 있는 오스트리아 빈에서 보수파의 반독점 투쟁에 맞서 싸워 총력을 기울이는 모습이 비
박가분,편의점에서 과일을 굽고 있다는 사정은 백사 출신 할머니를 포함해 지인들이 많이 찾는 것과 달리서는 아니답니다.,1,백사 출신 할머니를 비롯해 지인들이 많이 찾는 집에 자취하는 와중에 굳이 외제차를 사들이며 편의점에서 과일을 굽고 있다고 하는 것을 쉽게 볼 수 있어요.
윤휴,당나라 문무궁에서 1907년 5월에 당안 자리에 당인인 김덕원(원택택)이 있는 것으로 밝혀졌다.,1,"1907년 5월에 당나라 문무궁에서 당하더니 당인인 김덕원(원택택)이 당안 자리에 있는 것으로 밝혀졌으며, 당"
황토현 전투,"1905~1961년 5월 전라북도 고창에서 일어난 독립운동가 조봉찬, 김소식 등의 외계 반군 세력으로부터 비선 실권적 대립을 일으킨 데 이어 1975년 5월 전남",1,"1905~1961년 5월 전라북도 고창에서 발생한 독립운동가 조봉찬, 김소식 등의 외계 반군 세력으로부터 비선 실권적 대립을 일으킨 데 이어 1975년 5월"
In My Life,이 곡은 역대 최고의 가수로 평가받는 조지 마틴이 1964년 3월 요틀로 만난 가수의 콘서어트와 같은 이름의 피아노 소나타 100곡 중 5위에 선정된 캐나다의 가곡 전문지 ‘비틀즈 앤,1,이 곡은 역대 최고의 가수로 평가받는 조지 마틴이 1964년 3월 요틀로 만난 가수의 콘서어트와 같은 이름의 피아노 소나타 100곡 중 5위에 선정된 캐나다의 가곡 전문지 ‘비틀즈 앤
김용태 (1968년),지금 국민안전혁신특별위원회의 위원장인 이호숙 의원 말고도 저는 상임위 활동을 한 적이 있습니다.,1,국민안전혁신특별위원회에서 지금 위원장을 맡아 있는 이호숙 의원 말고도 저는 상임위 활동을 한 적이 있습니다.
오프컴,여태까지 통신과 통신 분야에 있어 대체적 역할을 해왔던 디지털 통신선전선을 넘어넘는 새로운 기술이 개발되면서 통신 부류의 간극을 없애고 경쟁과 협력으로 이용하는 사람들이 증가하면서 상설시장만 따로따,1,"영국 통신청인 오프컴은 방송과 통신 분야를 아우르는 막강한 권한을 지니고 있습니다. 소비자와 시민을 위한 목소리가 되어 경쟁을 활성화하고 유해하거나 위험한 콘텐츠로부터 시민들을 보호할 책임이 있습니다.
오프컴의 주요 관할 영역으로는 면허 부여, 조사, 규약과 정책, 불만, 경쟁, 그리고 무선 주파수의 오용으로부터의 보호 등이 있다.
오프컴의 창설은 2001년 6월 영국 의회를 향한 여왕의 연설에서 선언되었다. 기존의 여러 기관들을 대체할 새로운 기구는 디지털 전송 기술 발전에 의해 빠른 속도로 수렴하는 미디어 채널들을 감독할 '초-규제자'로 여겨졌다.
오프컴은 2003년 12월 29일 설립되었으며, 다섯 개의 서로 다른 규제 기구들의 책임이었던 의무들을 공식적으로 승계했다:
2009년 7월 당시 야당이었던 영국 보수당 대표 데이비드 캐머런은 독립 공공기관 확대에 반대하는 연설에서 이렇게 말했습니다. 보수당 정부가 들어서면 지금과 같은 오프컴은 사라질 겁니다. 오프컴의 역할은 기술적이고 집행적인 측면으로 국한될 것이며 더 이상 정책 결정에는 관여하지 않을 겁니다. 현재 오프컴이 맡고 있는 정책 결정 권한은 문화 미디어 스포츠부로 완전히 이관될 것입니다. 캐머런 총리의 첫 번째 임기 중에 Public Bodies Act 2011에 따라 오프컴의 많은 업무가 사라지거나 변경되었지만 실제 오프컴의 영향력은 줄어들지 않았습니다.
2011년 10월 1일, 오프컴은 우편 서비스 산업을 규제할 책임을 우편 서비스 위원회(Postcomm)로부터 인수했다.
2016년 새해 첫날 온디맨드 비디오 규제 권한이 바뀌었습니다. 기존의 온디맨드 텔레비전 위원회 ATVOD에서 영국 통신청 오프컴으로 이관된 것이죠."
유엔 인권 위원회,유엔 인권위원회 헌법 개정안에 따라 국내에서도 인권 이슈가 제기되었지만 우리나라도 법사위 활동의 기본적표준과 영역을 보훈단체들에서 의견을 모아 국회에관하게 된 겁니다.,1,유엔 인권위원회 헌법 개정안에 따라 국내에서도 인권 이슈 이슈가 제기되었지만 우리나라도 인권위의 법사위 활동의 기본적표준과 영역을 보훈단체들에서 의견을 모아 국회에관하게 된 겁니다.
브락 라던스키,차기 시즌 준비도 부지런히 해야 한다.,1,다음 시즌 준비에 대해서도 착실하게 해야 한다.
